latitude,longitude,mag
36.8557,-98.1139,2.7
37.5361667,-118.4373333,2.74
37.4138333,-118.5265,3.04
40.3743333,-124.6208333,2.69
33.1646667,-115.6391667,2.55
35.731,-117.727,2.92
35.5883333,-120.853,3.11
42.672,-111.489,3.1
46.7676667,-122.8436667,3.1
34.358,-118.319,3.5
31.67074817,-104.3779115,2.7
37.0328,-104.9643,2.8
34.9543333,-116.729,2.6
33.2125,-118.057,3.1
35.5356667,-121.479,2.62
36.8394,-97.6072,2.7
46.197,-122.192,2.5
36.9736667,-121.4641667,3.5
42.1065,-120.2538333,2.6
40.5633333,-121.7316667,3.13
32.333,-115.129,2.54
36.7587,-98.0686,2.9
34.255,-105.681,2.8
37.5128333,-118.4283333,2.57
31.9225,-117.2573333,3.57
31.6073,-104.5128,2.5
34.3173333,-116.218,2.62
36.8739,-97.4438,3.3
33.0605,-115.5725,2.61
34.506,-116.276,2.5
37.2013333,-117.5505,3.26
41.8719,-119.6356,2.6
36.3429,-97.184,2.6
39.726,-111.3031667,2.63
38.8015,-122.7753333,3.09
31.64805961,-104.4040832,3.0
46.7355,-122.8045,3.0
36.593,-97.368,2.6
37.5581667,-118.8443333,2.84
39.209,-116.355,4.2
36.8505,-121.5751667,3.46
34.3615,-118.4376667,2.65
40.307,-107.809,2.6
36.6971667,-121.331,3.34
32.3778333,-115.2818333,2.6
41.8721,-119.6329,2.9
36.9745,-90.4113333,2.64
33.126,-115.9986667,3.0
36.3176667,-120.3903333,2.77
36.2533333,-120.3311667,2.76
32.727,-115.848,2.87
36.2465,-120.3648333,3.17
31.67,-104.363,2.9
37.5385,-121.9111667,2.61
36.9813333,-121.7251667,2.63
32.495,-97.15,3.2
39.5928333,-120.1521667,2.55
36.636,-115.7274,4.4
36.9253,-97.3714,2.6
34.392,-116.466,2.79
33.1426667,-115.6415,2.8
33.9835,-116.662,2.63
40.3178333,-124.6006667,3.95
36.599,-121.8745,2.98
45.6876667,-120.0791667,2.6
34.317,-116.454,2.8
44.4221,-115.2105,3.0
35.656,-117.5233333,3.39
35.391,-118.5133333,2.73
33.1623333,-115.5931667,2.93
34.4395,-116.5133333,2.78
34.09,-116.359,2.79
33.569,-118.924,2.62
32.1363333,-115.7106667,2.64
36.2135,-120.296,2.52
34.0128333,-116.4411667,3.03
31.927,-115.619,2.93
34.3191667,-116.4586667,3.0
37.634,-118.923,2.64
38.1762,-117.907,2.7
33.804,-118.1776667,2.56
35.977,-117.802,2.95
40.4328333,-124.4103333,2.83
32.9576,-98.0594,3.7
34.604,-116.276,2.63
46.2081667,-119.9055,3.1
32.3,-118.264,3.14
34.091,-116.38,3.14
32.5571,-90.0759,3.2
46.1988333,-122.19,2.6
40.6201667,-122.4143333,2.55
31.9438333,-116.5301667,3.68
34.024,-116.3091667,2.8
33.4925,-116.4385,2.69
36.2428333,-120.8023333,3.11
42.0591667,-120.2365,2.7
38.553,-119.707,3.2
38.1726,-117.8374,3.0
40.3765,-124.467,3.45
31.6625,-115.9241667,2.59
32.7838333,-118.4446667,3.28
34.399,-116.474,3.05
46.1941667,-122.1935,2.5
46.2046667,-122.1801667,3.7
36.5871667,-121.1796667,3.0
36.812,-121.5326667,3.0
35.29,-92.28,2.6
40.318,-107.789,2.5
46.1995,-122.1928333,2.5
36.1445,-120.2173333,2.7
36.4549,-98.759,2.6
38.3321667,-122.595,2.59
37.9656667,-118.5915,2.57
32.323,-115.0946667,2.61
46.1971667,-122.1888333,3.4
32.294,-115.127,2.82
35.9896667,-117.8705,2.68
35.1386667,-119.0611667,2.98
34.677,-120.8893333,2.82
38.7303,-119.6107,2.8
43.72,-105.258,2.9
46.7045,-122.7675,2.7
34.98,-116.951,2.68
46.1968333,-122.1903333,2.7
31.2171667,-115.9443333,2.77
35.8556667,-117.6898333,2.52
39.4685,-123.0951667,3.0
30.6368,-114.3145,4.5
36.0021667,-120.5636667,2.58
36.0968333,-120.1091667,2.64
33.697,-118.161,2.99
32.729,-115.877,2.73
45.02,-104.21,4.2
34.8035,-116.2831667,2.85
33.7631667,-116.1495,2.63
35.6345,-118.3723333,2.67
48.122,-114.516,3.3
33.8841667,-116.646,2.66
33.1061667,-116.4466667,3.26
36.6228333,-121.2321667,2.99
31.896,-115.832,3.18
36.0995,-120.6616667,2.84
38.334,-112.833,3.0
38.1858,-117.8436,4.2
32.9958333,-117.7518333,2.76
33.3653333,-119.1255,3.0
31.678,-116.0655,4.42
37.133,-117.367,3.8
32.2,-116.5333333,3.2
46.1968333,-122.1925,2.9
38.8045,-122.796,3.4
36.106,-120.1076667,2.91
38.1468,-117.9837,3.1
35.3546667,-117.8158333,3.32
40.5043333,-124.3673333,3.2
33.7863333,-117.7221667,2.86
31.8,-115.839,3.48
33.202,-115.611,2.63
36.9588333,-121.4496667,3.07
46.1998333,-122.1908333,2.7
38.8121667,-122.8163333,3.28
41.8658333,-112.4511667,2.54
36.445,-117.904,3.88
34.179,-116.813,3.67
33.8953333,-117.931,2.63
41.784,-108.624,2.7
33.703,-118.265,2.9
36.0011667,-120.5401667,2.73
37.881,-112.4871667,2.88
48.8301667,-122.1583333,3.3
32.666,-115.959,2.55
46.7793333,-122.8478333,2.7
31.767,-115.77,2.86
33.134,-115.732,2.66
31.777,-108.5,2.5
38.7731667,-119.8683333,2.58
35.6731667,-117.5643333,2.78
32.7176667,-115.9585,2.68
33.1086667,-116.4355,4.22
33.63,-117.97,4.54
35.213,-118.631,2.52
33.8975,-117.5736667,2.6
39.3098333,-111.1085,2.62
34.0996667,-117.3241667,3.02
35.7498333,-117.5626667,2.9
36.0717,-97.5662,2.8
39.4456667,-121.5273333,3.14
36.8828333,-121.6168333,3.0
32.94,-117.831,2.82
45.784,-106.895,2.7
35.5591667,-120.0908333,3.28
38.0551667,-118.7003333,2.57
36.207,-118.309,2.9
36.3838333,-120.5421667,3.0
38.7963333,-122.7328333,2.77
35.769,-118.012,2.57
35.657,-97.298,2.5
40.5085,-121.9053333,2.85
36.6675,-121.2675,2.69
34.4955,-119.3038333,3.44
37.4621667,-118.8236667,3.83
40.3071667,-124.5278333,3.3
37.6433333,-118.9223333,2.99
40.2125,-121.0865,2.57
33.6045,-117.9555,2.61
40.506,-124.7515,2.57
43.703,-105.318,3.0
34.36,-118.62,2.99
35.8918333,-117.6865,2.51
36.25,-120.4005,2.84
37.417,-118.733,3.1
35.909,-116.958,3.15
37.4713333,-118.3631667,3.35
32.932,-117.715,2.78
35.5671667,-120.9128333,2.66
31.724,-115.957,3.18
35.3195,-118.6566667,3.64
32.738,-118.167,2.83
44.7965,-110.7741667,2.77
32.1353333,-115.2148333,2.92
46.1991667,-122.1916667,3.1
37.3161667,-121.687,2.82
38.7953333,-122.8081667,2.76
32.741,-118.047,2.89
34.28,-117.485,2.77
34.291,-118.427,2.51
34.3013333,-116.5001667,3.15
35.2808333,-118.5521667,3.5
34.353,-116.899,2.94
36.859,-121.5931667,2.79
44.7966667,-111.008,2.69
35.745,-97.122,2.5
46.6973333,-122.7536667,2.5
37.6073333,-118.4583333,3.31
31.883,-115.602,2.72
38.5365,-119.5353333,3.64
35.684,-117.612,3.77
33.7658333,-118.7073333,3.8
33.109,-109.361,2.8
34.038,-116.5791667,3.33
40.428,-124.3288333,2.6
36.824,-121.5475,2.54
46.8599,-112.5249,2.9
40.3091667,-124.6106667,2.99
36.004,-117.799,2.52
36.4831,-98.7478,3.6
35.5916667,-120.872,2.82
36.4627,-97.3177,2.8
32.976,-117.79,2.65
38.8143333,-122.4626667,2.71
34.291,-118.47,3.45
32.0551667,-114.7045,2.84
41.2603,-114.6422,2.6
37.1438,-116.5993,2.8
37.6368333,-121.6453333,2.83
37.2386667,-121.6296667,3.47
36.2762,-97.2617,2.5
35.8363333,-120.8026667,2.72
40.2641667,-123.2575,2.66
36.5266,-98.6964,2.6
36.0113333,-117.5413333,2.61
38.0985,-119.3001667,3.3
38.8126667,-122.8118333,2.54
32.2391667,-115.3335,2.89
38.7226667,-119.6361667,2.55
39.2156667,-123.0885,2.74
31.9985,-115.851,3.5
33.75,-118.08333,3.48
35.1,-119.067,2.6
33.96,-119.172,3.13
32.896,-115.915,2.53
46.2056667,-122.1846667,4.1
46.7415,-122.7733333,3.4
43.503,-105.217,2.9
44.2775,-115.1758,2.6
35.7861667,-121.3168333,2.92
34.288,-118.543,2.82
40.367,-124.527,3.3
35.5418333,-120.8496667,2.73
46.3195,-122.2333333,2.5
37.9766667,-118.0581667,2.53
37.1191667,-121.9965,2.59
36.0736,-97.7663,2.5
34.031,-116.38,3.0
37.493,-117.003,2.93
35.6448333,-121.0846667,3.65
38.8243333,-122.7898333,2.84
35.889,-97.2831,3.0
33.7673333,-116.0323333,3.3
36.399,-97.297,2.5
33.989,-116.651,3.01
39.419,-119.187,3.0
46.1846667,-122.1891667,2.7
37.8528333,-118.7231667,2.54
36.9534,-99.3706,2.6
37.5111667,-118.8236667,2.56
33.7685,-116.054,3.06
48.2668333,-122.8243333,2.7
34.001,-116.665,2.75
36.8571667,-121.3355,3.18
39.6991667,-111.2361667,2.62
38.7069,-118.7196,3.2
34.233,-116.816,2.66
33.97,-116.878,2.52
32.848,-115.476,2.65
36.855,-97.8542,2.9
36.6029,-97.6077,3.1
36.0594,-97.2497,3.3
37.4785,-118.3676667,2.91
37.638,-118.9511667,3.05
34.9508333,-118.8648333,2.84
31.672,-116.082,3.15
38.8315,-122.7851667,2.81
34.599,-116.62,2.52
40.9288333,-124.1613333,3.14
40.7513333,-112.0516667,2.61
36.835,-121.5708333,3.15
31.969,-117.365,3.39
35.516,-117.464,3.28
32.954,-115.795,2.75
36.8871667,-121.415,2.74
40.2258333,-121.1613333,2.52
36.8193333,-121.2066667,2.57
31.6799,-104.536,2.9
32.9703333,-115.6038333,2.69
37.6326667,-118.9098333,3.04
34.8598333,-116.51,2.73
33.5023333,-116.5323333,3.48
43.787,-105.302,3.1
35.747,-118.006,3.6
42.6795,-111.4282,2.6
46.2001667,-122.1865,3.0
35.8428,-106.7777,2.5
38.398,-118.135,3.5
35.9135,-117.6913333,2.76
35.1703333,-117.3805,3.13
35.3278333,-118.6681667,2.89
40.2625,-124.4886667,2.53
40.3553333,-124.501,2.94
38.1695,-118.0611,3.0
32.4228333,-115.2846667,2.53
34.309,-118.447,3.76
46.1978333,-122.1915,2.9
36.2565,-120.2846667,2.65
36.2597,-96.748,3.4
39.692,-120.7686667,2.87
38.8058333,-122.8056667,3.22
48.2715,-121.7655,2.5
35.7706667,-117.7346667,2.59
34.029,-116.654,2.56
36.2071,-97.424,2.8
34.0976667,-117.1513333,2.9
32.4238333,-115.2205,2.56
32.7083333,-117.4275,2.87
36.9536667,-117.7406667,2.51
37.6108333,-118.862,2.51
41.8483,-119.6016,2.5
31.6423333,-115.8273333,2.6
33.536,-118.403,2.57
36.9271667,-121.4645,4.27
37.1608,-117.3771,2.8
36.7377,-98.3398,2.5
33.92,-117.9316667,3.2
37.6305,-118.8991667,2.66
38.7493333,-122.7333333,2.92
35.2278333,-92.3886667,2.6
43.681,-105.008,3.1
36.392,-120.937,2.87
41.6811667,-112.3915,2.7
36.8808333,-121.6146667,3.26
29.339,-114.075,3.5
31.8476667,-116.1833333,2.83
46.1988333,-122.191,2.6
41.745,-108.667,2.5
36.6708333,-121.2966667,2.72
34.65,-116.318,2.51
31.66,-104.41,3.0
36.4888333,-121.0776667,2.61
31.895,-115.601,2.89
38.8336667,-122.78,2.86
37.089,-117.755,3.01
32.276,-115.109,2.8
33.727,-115.947,2.86
33.987,-116.98,2.55
36.0853333,-117.8978333,2.76
39.9076666666667,-122.677,2.97
33.954,-116.319,2.55
35.8105,-97.4512,2.8
36.8361,-98.2531,2.8
35.7451,-97.3894,3.4
36.9603,-97.7125,3.3
40.309,-124.5693333,2.98
37.3763333,-122.2583333,3.3
44.551,-114.5183,2.8
32.191,-115.524,2.82
35.3193333,-118.5211667,2.78
37.4878333,-118.8036667,2.74
29.065,-97.828,2.6
35.7296667,-121.0846667,2.89
34.5473333,-116.8333333,2.72
32.0773333,-115.1461667,2.61
31.886,-115.833,2.92
33.984,-115.664,3.18
35.336,-96.67,3.3
36.1383,-96.8211,2.7
43.712,-105.185,3.4
33.059,-109.315,2.5
31.675,-104.195,2.7
37.5388333,-118.4476667,2.73
36.2514,-98.4305,2.5
36.2385,-120.4433333,3.0
36.4285,-117.9528333,2.5
38.3871,-118.8862,2.8
27.7563,-105.6715,4.1
32.875,-118.42,3.33
34.038,-118.9973333,2.55
32.147,-115.325,2.84
35.9805,-118.329,2.52
38.4186667,-119.3018333,2.73
34.3296667,-116.8641667,2.6
34.2535,-116.4283333,3.01
35.793,-117.635,2.68
34.017,-116.761,3.13
41.8849,-119.634,3.0
38.8283333,-122.8016667,2.93
37.4955,-118.81,4.1
32.2238333,-115.4116667,3.42
31.8041667,-116.1996667,2.55
34.242,-119.617,2.76
36.0798333,-120.6353333,3.0
31.4173333,-115.6041667,2.92
42.5733,-111.4428,2.6
41.1334,-114.8793,3.5
36.4881667,-117.8773333,3.28
38.8276667,-122.7971667,2.59
36.442,-117.9836667,3.21
35.348,-118.552,2.74
33.976,-115.776,2.5
35.8444,-97.3384,3.0
39.8478333,-121.86,2.57
36.3936667,-91.4615,2.6
31.5068333,-115.5326667,3.25
31.773,-115.965,2.71
32.969,-109.283,2.9
38.0083333,-118.6776667,3.08
36.8801667,-121.6148333,3.1
41.3373,-100.0684,2.5
33.1718333,-115.5876667,2.8
34.187,-116.784,2.7
35.5479,-97.1146,2.8
36.738,-121.3685,3.64
38.0508333,-118.7523333,3.06
42.718,-111.305,2.8
34.342,-118.473,2.61
35.1625,-118.4123333,4.0
37.34,-112.724,3.14
34.7118333,-120.444,2.52
35.9441667,-117.6738333,2.53
44.4435,-115.2561,2.5
32.0488333,-115.0778333,2.9
41.629,-108.691,3.0
36.2859,-97.5133,2.8
36.0553333,-117.8541667,3.51
34.581,-116.284,2.77
36.522,-98.9829,2.7
38.0556667,-113.2718333,3.93
33.9786667,-116.36,4.11
36.1683,-97.048,3.1
35.071,-119.033,3.17
33.947,-116.33,4.32
46.7451667,-122.7785,3.0
45.171,-122.6015,2.6
37.164,-97.7878,2.5
46.734,-120.8525,2.5
33.98,-116.267,2.77
48.6566667,-123.1275,2.94
31.4598333,-115.5315,2.97
34.608,-116.338,2.78
46.7523333,-122.8186667,2.7
34.931,-116.913,2.67
38.7471667,-119.7566667,2.54
37.7275,-110.6765,2.68
36.3541667,-120.3015,3.7
31.242,-115.711,2.95
38.8213333,-122.8378333,2.69
44.3688,-116.0925,2.8
37.6246667,-118.8495,3.15
44.8217,-115.742,2.6
37.5231667,-118.8191667,2.78
36.4206667,-121.4301667,2.71
32.948,-117.765,2.63
34.5035,-118.8421667,2.57
40.1731667,-121.0471667,2.87
32.6851667,-116.0615,3.0
34.8098333,-116.2656667,2.83
33.9918333,-117.2555,3.14
43.755,-105.219,3.1
33.7583333,-116.0036667,3.2
35.6383333,-118.2731667,3.2
32.975,-117.767,3.0
37.3366667,-121.7021667,2.51
44.7846667,-111.0353333,2.73
37.5708333,-118.8445,2.57
32.982,-115.85,2.65
35.673,-97.40766667,2.6
33.9908333,-118.4256667,2.69
40.5345,-124.3256667,2.52
38.7173333,-119.641,2.69
34.1515,-117.3488333,3.33
38.5478333,-119.4618333,2.53
44.204,-115.0963,2.5
44.5898333,-110.6768333,2.57
35.3943333,-116.8925,2.52
34.23,-116.734,2.7
36.0387,-96.7784,3.2
34.954,-116.94,3.48
37.6056667,-118.908,2.69
31.8133333,-115.7058333,2.77
37.201,-116.546,2.7
44.3082,-115.1194,2.6
34.302,-116.451,2.98
38.8151667,-122.7911667,2.74
31.25,-115.96,3.6
34.277,-118.381,3.39
35.7475,-117.547,2.7
42.5911,-111.4469,3.0
37.0466667,-113.0045,2.51
36.0336,-97.1217,2.5
38.9103,-115.4007,2.5
34.16,-116.852,3.99
34.06,-116.382,2.57
38.4625,-119.4761667,3.03
36.3231,-96.9568,2.6
37.7411667,-122.1208333,4.3
37.5901667,-118.8068333,2.88
32.995,-117.79,2.57
39.0085,-122.9045,2.84
44.621,-114.415,3.6
33.2801667,-116.2735,3.03
39.319,-111.152,2.6
48.207,-122.499,2.8
34.053,-116.387,3.35
35.758,-118.0298333,2.88
38.8346667,-122.8716667,2.56
33.9741667,-117.238,2.79
32.1795,-115.2898333,2.5
36.1781667,-117.8776667,3.07
35.5998333,-117.4083333,2.6
32.776,-115.5801667,2.82
35.1075,-95.37716667,2.66
35.9028333,-117.7208333,3.24
33.2185,-116.0883333,2.91
34.355,-118.425,3.74
32.99,-117.803,2.55
39.4503333,-121.5315,2.6
37.5353333,-118.8138333,2.61
44.579,-110.8133333,2.69
36.2335,-120.274,2.52
33.248,-115.63,2.52
40.2111667,-124.181,2.75
34.394,-118.702,3.12
34.246,-119.601,2.75
35.791,-117.635,2.65
40.3038333,-124.5171667,3.42
43.652,-105.37,2.9
36.9663333,-121.6048333,2.91
44.195,-105.362,2.8
36.1008333,-120.1545,2.98
36.4595,-98.7716,2.6
34.976,-116.937,2.62
36.221,-117.8781667,3.01
33.7015,-116.9023333,3.22
32.95,-115.5581667,2.55
38.3889,-96.9189,3.1
31.183,-103.3544,2.7
32.997,-115.811,3.23
34.988,-119.201,3.11
37.1796667,-121.5833333,2.54
32.1976667,-115.2816667,2.74
34.199,-119.028,3.3
44.5013333,-110.3725,2.51
34.609,-116.274,2.5
33.133,-109.396,2.7
33.017,-117.834,2.7
37.9932,-118.2341,2.6
40.2766667,-124.5278333,2.52
34.062,-117.068,2.72
44.309,-114.544,3.2
32.8255,-115.977,3.75
39.6342,-119.6433,3.0
32.996,-117.773,2.65
47.5293333,-122.8686667,3.4
37.6216667,-118.4873333,2.51
27.984,-112.351,4.4
40.3151667,-124.367,3.1
38.4792,-118.3662,4.3
31.4441667,-115.6891667,2.71
32.7073333,-115.8651667,2.68
36.4825,-120.4936667,3.0
37.8273333,-122.5975,3.25
34.9855,-119.0238333,3.3
40.2985,-124.508,2.56
34.5363333,-116.2668333,3.17
36.9036667,-121.4791667,2.57
41.8568,-119.5968,2.7
31.3278333,-115.7495,2.81
42.4075,-111.2085,3.76
37.3256667,-117.9148333,2.85
36.7966,-98.3508,2.7
38.1568333,-121.9306667,2.58
34.036,-116.346,2.5
44.3536,-116.1394,3.0
38.79,-122.788,3.5
33.9255,-115.9098333,3.4
31.865,-115.794,2.91
40.4598333,-122.0755,2.51
